0.000 0.002 1
-0.000 -0.002 -1
0.000 0.003 1
-0.000 -0.003 -1
0.000 0.005 1
-0.000 -0.005 -1
0.000 0.006 1
-0.000 -0.006 -1
0.001 0.008 1
-0.001 -0.008 -1
0.001 0.009 1
-0.001 -0.009 -1
0.001 0.011 1
-0.001 -0.011 -1
0.002 0.013 1
-0.002 -0.013 -1
0.002 0.014 1
-0.002 -0.014 -1
0.003 0.016 1
-0.003 -0.016 -1
0.003 0.017 1
-0.003 -0.017 -1
0.004 0.019 1
-0.004 -0.019 -1
0.005 0.020 1
-0.005 -0.020 -1
0.005 0.022 1
-0.005 -0.022 -1
0.006 0.023 1
-0.006 -0.023 -1
0.007 0.024 1
-0.007 -0.024 -1
0.008 0.026 1
-0.008 -0.026 -1
0.009 0.027 1
-0.009 -0.027 -1
0.010 0.029 1
-0.010 -0.029 -1
0.011 0.030 1
-0.011 -0.030 -1
0.012 0.031 1
-0.012 -0.031 -1
0.013 0.032 1
-0.013 -0.032 -1
0.014 0.034 1
-0.014 -0.034 -1
0.015 0.035 1
-0.015 -0.035 -1
0.017 0.036 1
-0.017 -0.036 -1
0.018 0.037 1
-0.018 -0.037 -1
0.019 0.038 1
-0.019 -0.038 -1
0.021 0.039 1
-0.021 -0.039 -1
0.022 0.040 1
-0.022 -0.040 -1
0.024 0.041 1
-0.024 -0.041 -1
0.025 0.042 1
-0.025 -0.042 -1
0.027 0.043 1
-0.027 -0.043 -1
0.029 0.044 1
-0.029 -0.044 -1
0.030 0.045 1
-0.030 -0.045 -1
0.032 0.046 1
-0.032 -0.046 -1
0.034 0.046 1
-0.034 -0.046 -1
0.035 0.047 1
-0.035 -0.047 -1
0.037 0.048 1
-0.037 -0.048 -1
0.039 0.048 1
-0.039 -0.048 -1
0.041 0.049 1
-0.041 -0.049 -1
0.043 0.049 1
-0.043 -0.049 -1
0.045 0.050 1
-0.045 -0.050 -1
0.047 0.050 1
-0.047 -0.050 -1
0.049 0.050 1
-0.049 -0.050 -1
0.051 0.051 1
-0.051 -0.051 -1
0.053 0.051 1
-0.053 -0.051 -1
0.055 0.051 1
-0.055 -0.051 -1
0.057 0.051 1
-0.057 -0.051 -1
0.059 0.051 1
-0.059 -0.051 -1
0.061 0.051 1
-0.061 -0.051 -1
0.063 0.051 1
-0.063 -0.051 -1
0.065 0.051 1
-0.065 -0.051 -1
0.067 0.051 1
-0.067 -0.051 -1
0.069 0.050 1
-0.069 -0.050 -1
0.072 0.050 1
-0.072 -0.050 -1
0.074 0.050 1
-0.074 -0.050 -1
0.076 0.049 1
-0.076 -0.049 -1
0.078 0.049 1
-0.078 -0.049 -1
0.080 0.048 1
-0.080 -0.048 -1
0.082 0.048 1
-0.082 -0.048 -1
0.085 0.047 1
-0.085 -0.047 -1
0.087 0.046 1
-0.087 -0.046 -1
0.089 0.045 1
-0.089 -0.045 -1
0.091 0.045 1
-0.091 -0.045 -1
0.094 0.044 1
-0.094 -0.044 -1
0.096 0.043 1
-0.096 -0.043 -1
0.098 0.042 1
-0.098 -0.042 -1
0.100 0.040 1
-0.100 -0.040 -1
0.102 0.039 1
-0.102 -0.039 -1
0.104 0.038 1
-0.104 -0.038 -1
0.107 0.037 1
-0.107 -0.037 -1
0.109 0.035 1
-0.109 -0.035 -1
0.111 0.034 1
-0.111 -0.034 -1
0.113 0.032 1
-0.113 -0.032 -1
0.115 0.031 1
-0.115 -0.031 -1
0.117 0.029 1
-0.117 -0.029 -1
